Source,Target,Weight
高俅,林冲,36
高俅,杨志,5
高俅,吴用,25
高俅,晁盖,6
高俅,柴进,4
高俅,宋江,114
高俅,戴宗,9
高俅,时迁,2
高俅,燕青,14
高俅,武松,1
鲁达,林冲,7
鲁达,杨志,1
鲁达,武松,1
林冲,鲁达,7
林冲,高俅,36
林冲,柴进,219
林冲,杨志,47
林冲,吴用,180
林冲,晁盖,148
林冲,花荣,89
林冲,宋江,258
林冲,戴宗,27
林冲,时迁,21
林冲,武松,31
林冲,关胜,111
林冲,燕青,14
林冲,方腊,3
柴进,林冲,219
柴进,吴用,73
柴进,晁盖,14
柴进,高俅,4
柴进,宋江,305
柴进,武松,74
柴进,戴宗,34
柴进,花荣,23
柴进,杨志,5
柴进,燕青,141
柴进,关胜,22
柴进,方腊,60
柴进,时迁,3
杨志,林冲,47
杨志,高俅,5
杨志,吴用,20
杨志,武松,41
杨志,宋江,58
杨志,鲁达,1
杨志,花荣,13
杨志,晁盖,1
杨志,戴宗,11
杨志,柴进,5
杨志,关胜,20
杨志,时迁,5
杨志,燕青,11
杨志,方腊,1
晁盖,吴用,237
晁盖,宋江,280
晁盖,林冲,148
晁盖,高俅,6
晁盖,柴进,14
晁盖,武松,1
晁盖,花荣,43
晁盖,戴宗,64
晁盖,时迁,10
晁盖,杨志,1
晁盖,燕青,2
晁盖,关胜,1
吴用,晁盖,237
吴用,林冲,180
吴用,杨志,20
吴用,宋江,879
吴用,高俅,25
吴用,柴进,73
吴用,花荣,111
吴用,戴宗,79
吴用,时迁,53
吴用,武松,52
吴用,关胜,76
吴用,燕青,39
吴用,方腊,39
宋江,晁盖,280
宋江,吴用,879
宋江,柴进,305
宋江,武松,297
宋江,花荣,518
宋江,杨志,58
宋江,戴宗,429
宋江,林冲,258
宋江,时迁,73
宋江,燕青,263
宋江,关胜,250
宋江,方腊,238
宋江,高俅,114
武松,柴进,74
武松,宋江,297
武松,杨志,41
武松,花荣,32
武松,晁盖,1
武松,鲁达,1
武松,林冲,31
武松,戴宗,28
武松,吴用,52
武松,时迁,18
武松,关胜,17
武松,燕青,10
武松,高俅,1
武松,方腊,4
花荣,武松,32
花荣,宋江,518
花荣,晁盖,43
花荣,林冲,89
花荣,吴用,111
花荣,戴宗,41
花荣,时迁,7
花荣,柴进,23
花荣,杨志,13
花荣,关胜,63
花荣,燕青,6
花荣,方腊,2
戴宗,吴用,79
戴宗,宋江,429
戴宗,晁盖,64
戴宗,花荣,41
戴宗,林冲,27
戴宗,时迁,15
戴宗,柴进,34
戴宗,武松,28
戴宗,杨志,11
戴宗,燕青,95
戴宗,关胜,13
戴宗,高俅,9
戴宗,方腊,1
时迁,戴宗,15
时迁,晁盖,10
时迁,宋江,73
时迁,吴用,53
时迁,林冲,21
时迁,花荣,7
时迁,关胜,7
时迁,武松,18
时迁,杨志,5
时迁,燕青,17
时迁,高俅,2
时迁,柴进,3
时迁,方腊,21
燕青,宋江,263
燕青,戴宗,95
燕青,柴进,141
燕青,吴用,39
燕青,关胜,9
燕青,晁盖,2
燕青,林冲,14
燕青,花荣,6
燕青,杨志,11
燕青,时迁,17
燕青,武松,10
燕青,高俅,14
燕青,方腊,34
关胜,宋江,250
关胜,吴用,76
关胜,戴宗,13
关胜,花荣,63
关胜,林冲,111
关胜,时迁,7
关胜,燕青,9
关胜,杨志,20
关胜,晁盖,1
关胜,柴进,22
关胜,武松,17
关胜,方腊,7
方腊,柴进,60
方腊,宋江,238
方腊,燕青,34
方腊,吴用,39
方腊,杨志,1
方腊,关胜,7
方腊,武松,4
方腊,戴宗,1
方腊,林冲,3
方腊,时迁,21
方腊,花荣,2
